pid	title	qid	wikititle	status	license	free	img	artist
104	SuperM	Q66710876	en:SuperM	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/3/34/SuperM_at_a_Launching_Press_Conference_on_October_2%2C_2019.png	Dispatch
298	T-ara	Q495383	en:T-ara	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/d/d6/170614_T-ARA_02.jpg	photomami
87	THE BOYZ	Q41949104	en:The Boyz (South Korean band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/7/7a/THE_BOYZ_%E2%80%98BE_AWARE%E2%80%99_Showcase_230220.jpg	티비텐 TV10
266	TREASURE	Q61057550	en:Treasure (band)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/0/05/240405_%ED%8A%B8%EB%A0%88%EC%A0%80_TTA_Malaysia_1st_Place.jpg	티비텐 TV10
276	tripleS	Q115099831	en:TripleS	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/e/e3/TripleS_250512.jpg	티비텐 TV10
61	TWICE	Q20645861	en:Twice	has_img	CC BY-SA 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/2/22/Twice_-_Dickies_Arena%2C_2022_%28cropped%29.jpg	Steven Anthony Hammock
101	TWS	Q124091148	en:TWS (group)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/2/23/TWS_at_the_2024_Melon_Music_Awards.png	TenAsia
86	TXT	Q60550265	en:Tomorrow X Together	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/a/a8/Tomorrow_X_Together_at_a_Dior_event%2C_April_18%2C_2025.png	티비텐 TV10
281	UNIS	Q124362218	en:Unis (group)	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/d/d1/UNIS%28%EC%9C%A0%EB%8B%88%EC%8A%A4%29_Debut_Showcase_2024-03-27.jpg	티비텐 TV10
76	VIVIZ	Q108853211	en:Viviz	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/a/ad/Viviz_240827.jpg	TV10
297	VIXX	Q1447659	en:VIXX	has_img	CC BY-SA 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/b/be/KCon_2017_LA_Vixx.jpg	Han Cinema
94	Wanna One	Q30311578	en:Wanna One	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/6/6a/171104_%EC%9B%8C%EB%84%88%EC%9B%90.jpg	DaftTaengk
103	WayV	Q60062907	en:WayV	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/8/8d/WayV_during_fanmeeting_in_December_2019_02.jpg	Bugaboo.TV
107	Weeekly	Q65046002	en:Weeekly	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/7/79/Weeekly_Bliss_showcase_240709.jpg	티비텐
291	Wonder Girls	Q476119	en:Wonder Girls	has_img	CC BY-SA 2.0	Y	https://upload.wikimedia.org/wikipedia/commons/5/57/WonderGirls2016Crop.jpg	Jeon Han
284	Xdinary Heroes	Q109579414	en:Xdinary Heroes	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/0/0b/Xdinary_Heroes_230105_02.png	JYPAudition
99	ZEROBASEONE	Q117808633	en:Zerobaseone	has_img	CC BY 4.0	Y	https://upload.wikimedia.org/wikipedia/commons/a/ab/ZEROBASEONE_%40_40th_Golden_Disc_Awards_%2820260110%29.jpg	TV10
261	東方神起 (TVXQ)	Q192983	en:TVXQ	has_img	CC BY 3.0	Y	https://upload.wikimedia.org/wikipedia/commons/1/1a/TVXQ_December_2023.jpg	
